Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33
1,0.334967140588296,0.245935232609386,0.255492503261065,0.434770422885042,0.320174882343778,0.364936417399427,0.271959363035021,0.257716401160917,0.590471005917936,0.331466900829706,0.428223971214551,0.335129686312515,0.439549350339032,,,,,,,,,,,,,,,,,,,,
2,0.344471508249024,0.350652461975289,0.520206815947825,0.354810670930034,0.418921349427034,0.478884306732784,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.476427570625074,0.335708814279686,0.300492682274593,0.277797609184831,0.434181990557707,0.525063617601672,0.352536025046738,0.346870468078965,0.476623855073991,,,,,,,,,,,,,,,,,,,,,,,,
4,0.254254396902409,0.259648121798326,0.351348046249246,0.574448394950961,0.28454627448401,0.374010204205337,0.538642005677731,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.437894143324458,0.414415427514956,0.506826833855704,0.238427282833348,0.45927096207308,0.395463738251856,0.548928903479973,0.303979406430223,0.469115583104101,0.376096703121099,0.328635498892664,0.49447296248183,0.415643003787578,0.465052306660396,0.395797466566287,0.318842052439273,0.292711720908953,0.302543315624519,0.302868521766402,0.294820019202645,0.404343958255398,0.274379479590151,0.378429490721566,0.274579780793831,0.387101834430529,0.465537305577524,0.482446085524305,0.52812360365104,0.347799942961102,0.52388623802759,0.263419548188831,0.306892863834719,0.32003087492579
