Topic,Article_Name
1,Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics,designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design,experiential speculation in vision-based ai design education designing conventional and progressive ai futures,from critical technical practice to reflexive data science,objective portrait a practice-based inquiry to explore al as a reflective design partner
2,rendering a better future (L Shape)
3,on the integration of machine agents into live coding
4,Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices,user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation
5,ahrc design fellows challenges of the future ai data,festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals,its like the value system in the loop domain experts values expectations for nlp automation
7,design ideation with ai-sketching thinking and talking with generative machine learning models
8,"Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers","nishant shah"
11,hidden layer interaction a co-creative design fiction for generative models,humans will lose proper imagination unconsciously,muGen — Generative AI as Machinic Exploration of Cultural Archives,synthetic ethnography field devices for the qualitative study of generative models
13,Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media,imagining the future of creative ai tools a cospeculative workshop,unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries
14,Call for Speculative ICCC,Lonely Road Maison 2021 preprint,Public Interest Technology Indian Megacities,how to use generative ai as a design material for future human-computer (co-) creation
15,lost in the logistical funhouse speculative design as synthetic media enterprise,when happy accidents spark creativity bringing collaborative speculation to life with generative ai
17,generative ai futures a speculative design exploration,metaverse perspectives from japan a participatory speculative design case study
19,Artificial Intelligence and Creativity,_explorers of unknown planets practices and politics of artificial intelligence in visual arts,ai in the public eye investigating public ai literacy through ai art
21,A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation
22,speculation forms and functions
23,The Future of HCI-Policy Collaboration,from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and,responsible language technologies foreseeing and mitigating harms
25,the entoptic field camera as metaphor-driven research-through-design with ai technologies
26,artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities,message ritual a posthuman account of living with lamp,miracle machine in the making soulful speculation with kabbalah,nine potential pitfalls when designing human-ai co-creative systems,the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years,what is human-centered about human-centered ai a map of the research landscape
27,deepfakes in india from words for the lies to the faces for the lies,machines for living
28,speculative mobility exploring sustainability-driven scenarios for future car owners
29,conversations with the news co-speculation into conversational interactions with news content,machine talking speculative conversations with ai through practice-oriented research,unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies
30,drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering,memory manipulations in extended reality
31,Algorithmic Abduction Robots
32,filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production
34,ai-generated dance and the subjectivity challenge,embodying an interactive ai for dance through movement ideation,intelligent music performance system towards a design framework,participatory conceptual design of accessible digital musical instruments using generative ai
35,prototyping relational things that talk a discursive design strategy for conversational ai systems
36,memento flori speculative design approaches to memorials of the future
37,Predictive or Imaginative Futures
38,writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing
39,boosting children's creativity through creative interactions with social robots,sparking creativity with robots a design perspective
40,probing respiratory care with generative deep learning
