Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28
1,0.410243798334351,0.539144379925553,0.597971352515492,0.583043683629096,0.718936010863883,0.419070430523605,0.702045232565525,0.473804342347823,0.460392398941176,0.411109581860851,0.600271677374757,0.534082073166206,0.481443073129036,0.680920335290248,0.300382018197777,0.501624469978977,0.506417262577999,0.522822877060191,,,,,,,,,,
2,0.315372000462612,0.411486396341254,0.431546076150425,0.38535995674347,0.334907372522458,0.365130390894612,0.582886816989022,0.42916813060958,0.475188243280415,0.500585448098705,0.547101217485151,0.605645711993616,0.628147892923449,0.428426670565862,0.396768414221719,0.39444344515556,0.70447700390498,0.595145434483947,0.546678990892247,0.697449479973551,0.500407411443251,0.439222199567888,0.788922818038688,0.635319640859486,0.615928076821998,0.605831443093472,0.390329164150726,0.762930381253333
3,0.565331683816504,0.362784941840853,0.442574287055284,0.394231803878457,0.52444413346197,0.43005601112533,0.729649655231572,0.314084662281977,0.481137419863116,0.626965545642434,0.465173930558213,0.620014641273411,,,,,,,,,,,,,,,,
4,0.380126108990938,0.881657173113418,0.244083440511205,0.708331236773053,0.437642679282186,,,,,,,,,,,,,,,,,,,,,,,
5,0.778726662609429,0.325212118649205,0.614424675454338,0.628387225378315,0.636440130108224,,,,,,,,,,,,,,,,,,,,,,,
