Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27,Probability_28,Probability_29,Probability_30,Probability_31,Probability_32,Probability_33,Probability_34,Probability_35,Probability_36,Probability_37,Probability_38
1,0.813979196762226,0.721995169615011,0.700624751036694,0.840502981701944,0.525165354468521,0.872428765125132,0.664200889472141,0.930005973862896,0.831155492816925,0.815149681306212,0.725127573239442,0.997052297438025,0.776775682167808,0.812525578344069,0.997755288475276,0.613887677121357,0.927198625972578,0.549239168481321,0.603418236007315,0.89456063793006,0.889088386532538,0.875418843775613,0.87210576887424,0.957581259639148,0.922046548170838,0.885507397648472,0.788255167240974,0.55785053475624,0.56526729366723,0.898070506531338,0.730934544425147,0.496377244812143,0.898274272259089,0.991711061972997,0.846276954539036,0.896745448620909,0.786162903054346,0.996059239052083
2,0.87156003513815,0.501831386041033,0.927496901608805,0.61593878135919,0.492448323466346,0.696630065713417,0.682436572891741,0.393544749415053,0.945344431517074,0.735969645874368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.801550671199555,0.765386269340026,0.714928086255935,0.771252440623707,0.932669515229737,0.827600190169798,0.729873561152611,0.748374395184675,0.326127299273487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.994988313149906,0.497522252181689,0.814579358806367,0.393998368860476,0.895253763126029,0.763741095999158,0.599871570590231,0.729391587511486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.976270373572561,0.951927319500573,0.855305900562766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
