Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26
1,0.335992418439193,0.61649228969699,0.321090202291092,,,,,,,,,,,,,,,,,,,,,,,
2,0.446035842692248,0.277175967083316,0.438789691455532,0.260426166276339,0.329988740493682,0.420190368058945,0.410384587496505,0.4112863597799,0.329444967140701,0.276127259161141,0.520005781171009,0.561279597776902,0.269144446946132,0.336438492488714,0.295941131837871,0.429671230065108,0.333321148077013,0.444399730360134,,,,,,,,
3,0.30364115276183,0.379196047290146,0.639641374290684,0.575472268261809,0.407854804168851,0.451818319852779,0.318411797863308,0.320110820800913,0.615856340244186,0.237440393018683,0.333298750718984,0.303115137108124,,,,,,,,,,,,,,
4,0.24204813726295,0.448091626262128,0.339498096735318,0.328829127175901,0.54112429641081,0.36278279160419,0.536295372053923,0.341012262838207,0.370600533788532,0.249764957737919,0.38877156363557,0.260915300189956,0.310418896312323,0.441729329088103,0.447743458346997,0.442394182214737,0.34187761889228,0.411577607762973,0.289542509229177,0.459448275019929,0.451032691500235,0.375984071690815,0.258623225441205,0.454209010802098,0.550116604008122,0.426879802684898
5,0.473930467678326,0.253109075009287,0.247746133371513,0.604273984916399,0.329436251907897,0.342929515726022,0.255220836031402,0.580105837387504,0.484361127896506,,,,,,,,,,,,,,,,,
