Topic,Article_Name
1,A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation,objective portrait a practice-based inquiry to explore al as a reflective design partner
2,rendering a better future (L Shape)
3,_explorers of unknown planets practices and politics of artificial intelligence in visual arts,ahrc design fellows challenges of the future ai data,ai in the public eye investigating public ai literacy through ai art,festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals,from critical technical practice to reflexive data science,hidden layer interaction a co-creative design fiction for generative models,how to use generative ai as a design material for future human-computer (co-) creation,responsible language technologies foreseeing and mitigating harms
4,generative ai futures a speculative design exploration,when happy accidents spark creativity bringing collaborative speculation to life with generative ai
5,designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design,user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation
7,"Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers","experiential speculation in vision-based ai design education designing conventional and progressive ai futures","speculation forms and functions"
8,message ritual a posthuman account of living with lamp,muGen — Generative AI as Machinic Exploration of Cultural Archives
13,unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries
14,artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities
15,nishant shah
16,metaverse perspectives from japan a participatory speculative design case study
17,design ideation with ai-sketching thinking and talking with generative machine learning models,drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering,its like the value system in the loop domain experts values expectations for nlp automation,the entoptic field camera as metaphor-driven research-through-design with ai technologies
18,Algorithmic Abduction Robots,Lonely Road Maison 2021 preprint,deepfakes in india from words for the lies to the faces for the lies,lost in the logistical funhouse speculative design as synthetic media enterprise,synthetic ethnography field devices for the qualitative study of generative models
19,from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and
21,machine talking speculative conversations with ai through practice-oriented research
22,Call for Speculative ICCC,Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices,Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media,humans will lose proper imagination unconsciously,imagining the future of creative ai tools a cospeculative workshop,participatory conceptual design of accessible digital musical instruments using generative ai
23,Artificial Intelligence and Creativity,machines for living
24,memory manipulations in extended reality,miracle machine in the making soulful speculation with kabbalah,nine potential pitfalls when designing human-ai co-creative systems,the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years,what is human-centered about human-centered ai a map of the research landscape
25,conversations with the news co-speculation into conversational interactions with news content,on the integration of machine agents into live coding
26,Predictive or Imaginative Futures
27,Public Interest Technology Indian Megacities,speculative mobility exploring sustainability-driven scenarios for future car owners
28,filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production
29,memento flori speculative design approaches to memorials of the future
30,ai-generated dance and the subjectivity challenge,embodying an interactive ai for dance through movement ideation,intelligent music performance system towards a design framework
31,Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics,unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies
32,boosting children's creativity through creative interactions with social robots,sparking creativity with robots a design perspective
33,probing respiratory care with generative deep learning
34,The Future of HCI-Policy Collaboration,writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing
35,prototyping relational things that talk a discursive design strategy for conversational ai systems
