Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.380326250201377,0.594775712120381,0.357630811691321,0.620880460015428,0.205302030540711,0.339117853365213,0.469859993680561,0.453664090635436,0.407516339228386,0.51365192078786,0.574329520865686
2,0.61786590686622,0.637680397056549,0.483428739094889,0.834472773518278,0.895032800500826,,,,,,
3,0.770266314921098,0.553001272359372,0.921436059394523,0.354165588490736,0.593052825612037,,,,,,
4,0.352142156990472,0.402939353236037,0.4370707626951,0.478787692423295,0.324217493324854,0.388476111629012,0.40330030116303,0.402021813328282,0.406914795253976,,
5,0.369477592438477,0.470103896204035,0.415753298849479,0.385752649400306,,,,,,,
6,0.543210319453744,0.597372672874281,0.41482996286978,,,,,,,,
7,0.462801864944979,,,,,,,,,,
8,0.56742188424358,0.372800388377301,0.396910342238706,0.292251738758665,0.526302283880257,,,,,,
9,0.454929842856379,,,,,,,,,,
10,0.390929785073411,,,,,,,,,,
12,0.725090578739856,,,,,,,,,,
13,0.646159707839187,,,,,,,,,,
14,0.358052931569683,0.260372116670495,0.791909195052076,,,,,,,,
15,0.829132100297636,,,,,,,,,,
17,0.683417181333222,0.407843634461086,0.332755695921841,,,,,,,,
18,0.3725765308886,,,,,,,,,,
19,0.29837118664888,0.789484571549987,,,,,,,,,
20,0.824845533879397,,,,,,,,,,
22,0.59167428982029,0.493234333074721,,,,,,,,,
23,0.769605458991362,0.511601690723501,,,,,,,,,
24,0.816066034468416,,,,,,,,,,
25,0.972654677745696,,,,,,,,,,
26,0.664038773087005,,,,,,,,,,
27,0.837507300992001,,,,,,,,,,
29,0.862074753898608,,,,,,,,,,
30,0.896721597997053,,,,,,,,,,
