Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.334204036466271,0.643661251127923,0.341281192934414,0.618583605930884,0.176894079117336,0.327099322954698,0.584789293983385,0.413347944230875,0.465394560393417,0.308303183499521,0.440118045465955
2,0.408390186364068,0.318790928991796,0.506807613092863,0.56260522153438,0.383186675389028,,,,,,
3,0.81002620816188,0.543022680435628,0.37476353629882,0.581700165912001,0.302861874069543,,,,,,
4,0.357155144779169,,,,,,,,,,
5,0.627392417538564,0.426207331837379,0.610368364470524,0.890339484645103,0.801365342634382,,,,,,
7,0.324895976200469,0.385546745898127,0.368692370900745,0.444766982553898,0.323830780346738,0.386341935594435,0.356450512995708,0.382894760374211,,,
8,0.463583968753453,,,,,,,,,,
9,0.596611968172815,0.479189752199314,0.602311626357629,,,,,,,,
10,0.329734454220664,0.327798491852941,0.433663940141486,,,,,,,,
11,0.366317168433919,,,,,,,,,,
13,0.359465326348447,,,,,,,,,,
15,0.761129604277384,,,,,,,,,,
17,0.809535684638206,,,,,,,,,,
18,0.337884066679736,,,,,,,,,,
19,0.522803409971111,0.631176151630362,,,,,,,,,
20,0.353145466524877,,,,,,,,,,
21,0.71610680163641,,,,,,,,,,
22,0.75027207354093,,,,,,,,,,
23,0.685654717058809,0.582331627048617,,,,,,,,,
24,0.407096594221897,,,,,,,,,,
25,0.66848849727039,,,,,,,,,,
26,0.48655816623577,,,,,,,,,,
27,0.490242179499723,,,,,,,,,,
28,0.69267379992066,,,,,,,,,,
29,0.747771458023982,,,,,,,,,,
30,0.85117712985662,,,,,,,,,,
33,0.557058265773077,,,,,,,,,,
35,0.793335355575251,,,,,,,,,,
36,0.905347703983617,,,,,,,,,,
37,0.809056077416655,,,,,,,,,,
38,0.455176591575209,,,,,,,,,,
39,0.817412094187461,,,,,,,,,,
40,0.389555539350145,,,,,,,,,,
