Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11
1,0.38049104961045,0.781564184075111,0.36412419573733,0.577371849944244,0.193498744848449,0.277400506312988,0.597500957974157,0.407622590751289,0.407056028548687,0.52627190937345,0.336643808545437
2,0.400321627758274,0.6391621771553,0.649266693729372,0.62561415134446,0.903595950536346,0.537628941167879,0.328955063629559,,,,
3,0.465342911510124,0.376019632415689,,,,,,,,,
4,0.447557585160753,0.54712464158486,,,,,,,,,
5,0.81314313693245,0.606156519203853,0.504133137228118,0.349685259918539,0.603990856156901,,,,,,
6,0.661678556764464,0.636697507208058,0.804001721867524,,,,,,,,
7,0.326163097656136,0.501187804419425,0.349229503394301,0.500943399275556,0.306951890348643,0.361434595162247,0.342691721870534,0.407918678850573,0.377005623232536,,
8,0.357682411712971,0.37118490430903,0.590761481050545,0.514198140104167,,,,,,,
9,0.688387445406969,0.351912890797793,,,,,,,,,
10,0.542628048635926,0.58853180302993,,,,,,,,,
11,0.48555964111596,0.651070726945153,0.717664547892446,,,,,,,,
12,0.509837157048332,,,,,,,,,,
13,0.754353644501479,0.819849700751147,0.948395970317556,,,,,,,,
14,0.748617017928639,,,,,,,,,,
15,0.389082975105913,0.835910195839455,,,,,,,,,
16,0.658442379347463,,,,,,,,,,
18,0.76969346139547,0.804164323020595,,,,,,,,,
19,0.840035615775317,0.390563031022035,,,,,,,,,
20,0.988126502219986,,,,,,,,,,
21,0.726270916466064,,,,,,,,,,
22,0.585439384875823,,,,,,,,,,
23,0.893832796293407,,,,,,,,,,
24,0.972705947503725,,,,,,,,,,
25,0.835431893543839,,,,,,,,,,
