Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14
1,0.47212431071348,0.390494723785176,0.527408001573773,0.509049944258296,0.336959350815065,0.230164021648745,0.36949883861396,0.367434881082648,0.477818560055063,0.220305841084842,0.476094779842511,0.284961334702735,0.385186748116626,0.356960040190077
2,0.212422427245802,0.424082644025564,0.578456316211616,0.400659835700634,0.343610129847994,0.610388041669876,,,,,,,,
3,0.5115109803434,0.305908765430558,0.269974202108728,0.419820233095548,0.448208809109281,0.52792429660908,0.368910589815909,,,,,,,
4,0.310097611598741,0.299021918132832,0.243920584994221,0.228899979931609,0.265333046135037,0.417611926290777,0.601838820497568,,,,,,,
5,0.197845032171524,0.400671010681752,0.652654962582715,0.619618136115598,0.345432686594881,0.350390615770778,0.659819751171053,0.389266116893878,0.343193627581078,0.389132968303862,0.362942242236396,0.321025772024575,,
6,0.434962472317993,0.542862454219858,0.450019885101348,0.427689074455394,0.343115524654447,0.584866268374619,0.29220173390997,0.326785305008862,0.665915470038135,0.301741701061904,0.664664620946354,,,
7,0.351778978582131,0.659035673912395,0.375978559007151,,,,,,,,,,,
8,0.409484076488915,0.866252020448759,0.271259451805286,,,,,,,,,,,
9,0.338853070153511,0.728916586785495,0.529598325713973,,,,,,,,,,,
10,0.695600323270443,0.590223340859052,,,,,,,,,,,,
