Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12,Probability_13,Probability_14,Probability_15,Probability_16,Probability_17,Probability_18,Probability_19,Probability_20,Probability_21,Probability_22,Probability_23,Probability_24,Probability_25,Probability_26,Probability_27
1,0.33943260010044,0.418348741250369,0.296971260014286,0.353672331039517,0.257571836243363,0.305387612051926,0.354376337196095,0.343948188996181,0.549501886089313,0.274684682011911,0.26422929853891,0.502173344568545,0.274733658235165,0.320850616696541,,,,,,,,,,,,,
2,0.377729891555154,0.300983927293435,0.517120839443878,0.467750443201076,0.361366129125265,0.316790465342435,0.271367288417025,0.332927072907859,0.349636260975551,0.344005262514403,0.30210109799732,0.43441332079999,,,,,,,,,,,,,,,
3,0.389391968166442,0.50918632045663,0.271058123417337,0.257080709014842,0.455118343244114,0.394846965036134,,,,,,,,,,,,,,,,,,,,,
4,0.297717925452269,0.335872870271223,0.326907766832659,0.327136119467606,0.51693811600281,0.511575669901949,0.28042493968642,0.250836610287517,0.276986978830972,,,,,,,,,,,,,,,,,,
5,0.248710600791581,0.245394523237741,0.325002848815537,0.348797294137373,0.241599935268353,0.415109724091105,0.273175048180216,0.288682877542017,0.359518002818908,0.346316917517464,0.253502650340222,0.474367306829611,0.379759686834344,0.306723123013829,0.331834970244801,0.299462941269213,0.403336533255596,0.364800767310286,0.221647803272777,0.361142882832927,0.286962542431793,0.324896345665702,0.386011827621643,0.375315104858639,0.467129086993748,0.306010816094677,0.332659225694482
