Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9
1,0.18333265354561,0.135165017616094,0.129569701758351,0.172437526466855,0.0965190248220481,0.206849221249831,0.235241430244192,0.1624649969095,
2,0.284775692195023,0.375498854928809,0.196425771966234,0.134715552937115,0.202560229512528,,,,
3,0.289227377491662,0.158022684483838,0.177644506891248,0.156539978833683,0.188524704470336,0.144500092136965,,,
4,0.0933361785283568,,,,,,,,
5,0.151821713080562,0.265366912357126,,,,,,,
6,0.140148450317731,0.0933396866362625,0.158692335543076,0.16294405120738,0.185664891406126,0.138480517656562,0.256832801992227,0.202348052430725,0.118133883215971
7,0.133824067818832,0.104543780321026,0.172756923467322,0.16062143309951,0.196312004916897,0.113476223160439,0.282214593965274,,
8,0.200664901188705,,,,,,,,
9,0.130146801904085,0.212141574191102,0.115961952678169,,,,,,
10,0.185548494955578,,,,,,,,
11,0.227051963539484,0.125800432339669,0.279755774172912,,,,,,
12,0.346459636922878,0.284909560100909,,,,,,,
13,0.282569986989264,,,,,,,,
14,0.0828242085503839,0.123090876784113,0.234943741893551,,,,,,
15,0.127879938724902,0.375697334178122,,,,,,,
16,0.364970023544187,0.327490589084544,0.195777670415354,0.124161450445547,,,,,
17,0.29721365663566,0.0814046099131552,0.241545420083186,,,,,,
18,0.121849773351512,0.173227391461622,0.163633181201771,0.370413363268401,,,,,
19,0.358824513119542,,,,,,,,
20,0.428318471439956,0.366745802012918,,,,,,,
